,Dept ID,Department,Network,GeoNetwork,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student,Attendance Rate
26031,26031,R Nathaniel Dett School,Network 6,NETWORK 6,97,0,6034327.0,0,306,6696.72,84.5
29381,29381,Robert Black Magnet,Network 12,NETWORK 12,72,0,5661414.0,0,358,6383.51,95.3
22411,22411,Edmund Burke School,Network 9,NETWORK 9,80,0,5354851.0,0,293,7114.23,83.9
31161,31161,Lawndale Comm Academy,Network 5,NETWORK 5,57,0,3408956.0,0,177,7075.62,88.0
24741,24741,Richard J Oglesby School,Network 11,NETWORK 11,62,0,4032308.0,0,264,6341.85,88.9
53011,53011,Chicago Vocational Career Academy,Network 17,NETWORK 17,183,0,13171672.0,0,631,7789.36,80.6
22531,22531,Daniel Cameron Elem,Network 5,NETWORK 5,134,0,10025135.0,0,634,6865.01,93.1
23021,23021,Thomas Drummond School,Network 6,NETWORK 6,77,0,5743372.0,0,331,6600.04,93.8
24471,24471,James B Mcpherson School,Network 2,NETWORK 2,189,0,13205534.0,0,790,6252.8,93.2
25191,25191,William H Ryder Math/Science Specialty School,Network 11,NETWORK 11,119,0,7467426.0,0,355,7148.12,90.0
29091,29091,Matthew Gallistel Language Academy,Network 13,NETWORK 13,124,0,10191926.0,0,581,7458.27,91.4
24731,24731,William B Ogden School,Network 15,NETWORK 6,298,0,22949249.0,0,833,11316.0,89.3
25661,25661,Mark Twain School,Network 10,NETWORK 10,157,0,12200510.0,0,829,6489.24,91.9
24251,24251,James Russell Lowell School,Network 5,NETWORK 5,102,0,6303723.0,0,285,7868.67,89.3
30051,30051,Daniel Carter Beard Elem,,,172,0,11196219.0,0,0,0.0,0.0
23611,23611,Emiliano Zapata Academy,Network 7,NETWORK 7,115,0,9592589.0,0,449,8964.35,91.4
23151,23151,Laughlin Falconer School,Network 3,NETWORK 3,175,0,13847404.0,0,816,7383.82,90.2
22851,22851,Daniel J Corkery School,Network 7,NETWORK 7,111,0,7865481.0,0,427,7269.45,85.2
26831,26831,Durkin Park School,Network 10,NETWORK 10,142,0,11075768.0,0,651,7253.14,91.5
24921,24921,Harold Washington School,Network 12,NETWORK 12,62,0,5054812.0,0,244,8173.4,91.6
22141,22141,John Barry Elementary School,Network 4,NETWORK 4,113,0,7719577.0,0,454,6814.54,90.0
23001,23001,John C Dore School,Network 10,NETWORK 10,153,0,12410133.0,0,721,6932.1,91.5
22661,22661,Horace Greeley School,Network 4,NETWORK 4,89,0,6693557.0,0,333,8296.93,91.0
22301,22301,Alex Haley School,Network 13,NETWORK 13,106,0,7949348.0,0,441,7232.37,91.0
22091,22091,Audubon Elem,Network 4,NETWORK 4,130,0,9370128.0,0,504,7807.13,94.1
25291,25291,Franz Peter Schubert School,Network 3,NETWORK 3,120,0,8648565.0,0,566,6526.51,90.1
11673,11673,Diverse Lrn Service Delivery,,,95,0,6295131.0,0,0,0.0,0.0
26721,26721,Sandoval School,Network 8,NETWORK 8,133,0,9482481.0,0,716,5641.99,91.2
24911,24911,William Penn School,Network 7,NETWORK 7,68,0,5419136.0,0,200,11050.66,89.4
26381,26381,Oliver S Westcott School,Network 11,NETWORK 11,101,0,5841615.0,0,368,5903.81,89.2
24891,24891,Helen C Peirce Sch Of Intl Std,ISP,NETWORK 2,196,0,14867867.0,0,1105,5635.46,93.7
22801,22801,John W Cook School,Network 11,NETWORK 11,68,0,5658183.0,0,278,8353.55,91.8
22821,22821,John C Coonley School,Network 2,NETWORK 2,158,0,11177008.0,0,726,6083.07,94.2
24991,24991,Laura S Ward School,Network 5,NETWORK 5,83,0,5231256.0,0,264,6928.66,86.2
49041,49041,Consuella B. York Alt HS,,,115,0,11120249.0,0,0,0.0,0.0
22771,22771,Edward Coles Model For Exl Sch,Network 12,NETWORK 12,64,0,5234094.0,0,259,8103.21,89.2
46201,46201,John F Kennedy High School,Network 16,NETWORK 16,296,0,22412028.0,0,1605,5915.05,79.9
22471,22471,Jonathan Burr School,Network 6,NETWORK 6,88,0,6724970.0,0,465,6146.52,94.1
24851,24851,Louis Pasteur School,Network 8,NETWORK 8,125,0,9481198.0,0,581,6422.21,89.6
29081,29081,Franklin Fine Arts Center,Network 4,NETWORK 4,65,0,5069531.0,0,343,5897.24,94.0
25451,25451,John Spry Community School,Network 16,NETWORK 7,88,0,7014939.0,0,302,9741.28,90.1
25521,25521,Harriet Beecher Stowe School,Network 5,NETWORK 5,127,0,8603686.0,0,572,6183.97,90.8
