Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
22451,Hughes/Davis,Network 13,73,39,4231054,3014878,434,6946.73
46111,Christian Fenger Academy,Network 17,36,16,2218726,1174240,214,5487.1
10710,Executive Office,,8,0,1070500,0,0,0.0
63031,Hope Institute Learning Academy,,4,0,97521,0,0,0.0
63081,EPIC Academy,Charter,2,0,42376,0,262,0.0
13737,CW Sports and Facilities Mgmt,,23,0,1453923,0,0,0.0
63041,Kwame Nkrumah Academy,,2,0,38553,0,0,0.0
11210,Assessment,,11,0,878166,0,0,0.0
14040,External Affairs & Partnership,,9,0,843900,0,0,0.0
2541,Principal Quality,,48,0,3112322,0,0,0.0
22291,Myra Bradwell Schl of Excellen,Network 12,55,30,2732387,1735202,477,3637.73
22341,Federico Garcia Lorca Elementary School,Network 4,75,48,4963760,3742564,618,6055.97
23061,George W Curtis School,Network 13,60,31,3255041,2211292,331,6680.59
22931,Charles S Deneen School,Network 12,58,26,2457325,1264303,413,3061.27
22921,Mariano Azuela Elementary School,Network 10,80,49,4647118,3347968,662,5057.39
22381,West Ridge Elementary School,ISP,82,50,4580712,3337336,596,5599.54
22691,Marvin Camras Elementary School,ISP,88,60,5562214,4405436,692,6366.29
46261,Wendell Phillips Academy,Network 17,80,47,4621888,2934436,444,6609.08
46101,Eric Solorio Academy High School,Network 15,127,76,7234420,4887573,1242,3935.25
47041,John Marshall Metro High Schoo,Network 15,48,27,2772773,1576526,198,7962.3
10450,Intergovernmental Relations,,8,0,653078,0,0,0.0
13725,Early College and Career,,24,0,1429315,0,0,0.0
11116,AUSL Program Support,,55,50,1383656,835109,0,0.0
63091,Chicago Tech Academy HS,Contract,2,0,62470,0,342,0.0
10814,Pre-K - 12 Curriculum,,11,0,1052055,0,0,0.0
66442,Urbn Prp Chrt HS-Yng Men-Brnzv,Charter,2,0,48430,0,154,0.0
46631,South Shore Intl Colg Prep HS,Network 17,73,42,4630399,3214692,622,5168.32
