School_ID,Short_Name,Long_Name
610304,PHOENIX MILITARY HS,Phoenix Military Academy High School
610305,LELAND,George Leland Elementary School
610312,MCDOWELL,Mary E McDowell Elementary School
610313,DE DIEGO,Jose De Diego Elementary Community Academy
610315,WHITE,Edward White Elementary Career Academy
610316,EARHART,Amelia Earhart Options for Knowledge ES
610317,BRIGHTON PARK,Brighton Park Elementary School
610319,EVERGREEN,Evergreen Academy Middle School
610323,BOWEN HS,Bowen High School
610325,AVONDALE-LOGANDALE,Avondale-Logandale Elementary School
610329,OROZCO,Orozco Fine Arts & Sciences Elementary School
610334,RABY HS,Al Raby High School
610339,STAGG,Amos Alonzo Stagg Elementary School
610340,CHICAGO ACADEMY HS,Chicago Academy High School
610342,SABIN,Albert R Sabin Elementary Magnet School
610345,WOODSON,Carter G Woodson South Elementary School
610347,CLAREMONT,Claremont Academy Elementary School
610350,BLACK,Robert A Black Magnet Elementary School
610352,DURKIN PARK,Durkin Park Elementary School
610353,CALMECA,Calmeca Academy of Fine Arts and Dual Language
610354,NORTH RIVER,North River Elementary School
610355,COURTENAY,Mary E Courtenay Elementary Language Arts Center
610357,SPRY HS,Spry Community Links High School
610362,EVERS,Medgar Evers Elementary School
610363,DISNEY,Walt Disney Magnet Elementary School
610364,DUBOIS,William E B Dubois Elementary School
610366,WACKER,Charles H Wacker Elementary School
610588,RICHARDSON,Robert J. Richardson Middle School
610367,DEPRIEST,Oscar DePriest Elementary School
610368,HUGHES L,Langston Hughes Elementary School
610369,JACKSON M,Mahalia Jackson Elementary School
610380,WILLIAMS HS,Daniel Hale Williams Prep School of Medicine
610381,BRONZEVILLE HS,Bronzeville Scholastic Academy High School
610383,SOCIAL JUSTICE HS,Greater Lawndale High School For Social Justice
610384,INFINITY HS,Infinity Math Science and Technology High School
610385,MULTICULTURAL ARTS HIGH SCHOOL,Multicultural Arts High School
610389,ORR HS,Orr Academy High School
610390,RICKOVER MILITARY HS,Hyman G Rickover Naval Academy High School
610391,LINDBLOM HS,Robert Lindblom Math & Science Academy HS
610392,WORLD LANGUAGE HS,World Language Academy High School
610394,UPLIFT HS,Uplift Community High School
610396,TARKINGTON,Tarkington School of Excellence ES
610405,SUDER,Suder Montessori Magnet ES
610499,COLLINS HS,Collins Academy High School
610503,FRAZIER PROSPECTIVE,Frazier Prospective IB Magnet ES
610513,AIR FORCE HS,Air Force Academy High School
610515,DISNEY II ES,Disney II Magnet School
610518,AUSTIN CCA HS,Austin College and Career Academy High School
610520,LASALLE II,LaSalle II Magnet Elementary School
610521,DAVIS M,Sir Miles Davis Magnet Elementary Academy
610523,EDISON PARK,Edison Park Elementary School
610524,ALCOTT HS,Louisa May Alcott College Preparatory HS
610529,OGDEN HS,Ogden International High School
610530,SOUTH SHORE ES,South Shore Fine Arts Academy
610532,HERNANDEZ,Irene C. Hernandez Middle School for the Advancement of Science
610533,PRIETO,Dr Jorge Prieto Math and Science
610534,SKINNER NORTH,Skinner North
610539,CAMRAS,Marvin Camras Elementary School
610541,LORCA,Federico Garcia Lorca Elementary School
610542,WEST RIDGE,West Ridge Elementary School
610543,SOLORIO HS,Eric Solorio Academy High School
610544,AZUELA,Mariano Azuela Elementary School
610547,SOUTH SHORE INTL HS,South Shore Intl College Prep High School
610548,STEM,STEM Magnet Academy
610558,GOODE HS,Sarah E. Goode STEM Academy
610559,SHIELDS MIDDLE,James Shields Middle School
610561,CRANE MEDICAL HS,Richard T Crane Medical Preparatory HS
610563,BACK OF THE YARDS HS,Back of the Yards IB HS
610564,DISNEY II HS,Disney II Magnet High School
610586,SADLOWSKI,Edward E. Sadlowski Elementary School
610589,SOR JUANA,Sor Juana Ines de la Cruz ES
610590,BRONZEVILLE CLASSICAL,Bronzeville Classical Elementary School
